mus_main,Knights of the Old Republic II - Main Title
mus_a_100,Peragus II
mus_a_001,Ebon Hawk Damaged
mus_a_200,Citadel Station
mus_a_003,Ebon Hawk Normal
mus_a_100dark,Peragus Dark
mus_a_261polar,Polar Regions
mus_a_400,Dxun Jungle
mus_a_800core,Planet Core
